to mutilate; mutilar
rib;costilla
crash, din;estrépito
broken down - adj;averiado
embellish;embellecer
dying;moribundo
question - using tela;tela de juicio
immune;inmune
the bad habit;la mala costumbre
advantage;ventaja
gaunt;desvaído
The sun was setting;El sol se estaba poniendo
to unroll;desenrollar
sign;seña
be careful what you wish for;ten cuidado con lo que deseas
to scratch;rascar
hirsute, hairy;hirsuto
asparagus;esperrágo
to paste, stick;pegar
school;escuela
The optimum;Lo óptimo
to disturb, upset - begins with a-;alborotar
I have to leave.;He de salir.
next, forthcoming;venidero
to move away, turn aside;alejar
to assemble;ensamblar
to accomodate, provide lodging;aposentar
As small as possible;lo más pequeño posible
bite;mordedura
the block;el bloque
to harden, thicken;endurecer
gorge, ravine;barranco
the crab walks sideways;el cangrejo camina de lado
enclosure, compound;recinto
to jape;chistar
transfer - noun;traslada
to style;estilizar
to repair - not reparar;remendar
face - not cara;rostro
as soon as possible;lo antes posible
pillow;almohada
to happen - not suceder;acontecer
fragile;frágil
to glue;pegar
adict;adicto
the same thing, ditto;lo mismo
intentional;intencional
I gave;Di
I was - estar;Estuve
I was, went;fui
I could;Pude
I knew;Supe
I came;Vine
to mortify;mortificar
lunar also spot;lunar
under the sea;bajo el mar
numerous;numeroso
hiss - noun;siseo
to remove - not quitar;alejar
dictatorship;dictadura
the stamp;el sello
the physics;la física
the training;el entrenamiento
purple;lila
the feature pages;el suplemento cultural
formula;fórmula
to disconnect;desconectar
to burn - not quemar;arder
from - not de!;proveniente
hazards;azares
the honeycomb;el panal
urinate;orinar
to stud;tachonar
the low tide;la marea baja
the social democracy;la socialdemocracia
the sport;el deporte
appearance;la apariencia
faithful;fiel
the sheep;la oveja
the cap;la gorra
to excuse;disculpar
to forgive;perdonar
to make up;reconciliarse
the content;el contenido
banana;el plátano
the vote, ballot;la votación
the seafood lit. marine soup;la paila marina
to submit, subject;someter
to swathe, bandage;vendar
mule;mula
restitution;restitución
the rancour;el rencor
incisive, trenchant;incisivo
intimacy - female;intimidad
to tease;burlarse
the branch;la rama
ticket window;ventanilla
to hide, conceal - not esconder;ocultar
in which;en el que
injury, most generic word;la lesión
to tangle;enredar
subject to change;sujeto a cambio
shard;élitro
obstacle;obstáculo
requirement;requerimiento
to awake, and awakening - noun;despertar
closeness;cercanía
to roll up;arrollar
to stink;heder
to firt;coquetear
rude - 4 letters;rudo
to enlarge;agrandar
hut, shack;choza
get the knack;coger el truco
whereby;por donde
to remain, be left over;sobrar
to group, cluster;agrupar
to take care of;ocuparse
gravel;grava
to qualify;calificar
hollow, depth;hondonada
to reinvigorate.;revigorizar
take care!;ten cuidado
aging in casks;Envejecimiento en barricas
to stamp, seal;sellar
the lustre, sheen, polish;el lustre
the highlight with lo;lo destacado
rudiment;rudimento
suitable, fitting, apt;apto
to recover, retrieve;recuperar
to fall - intr.;caer
frank;franco
mercy;misericordia
to settle, root oeself;radicarse
to collect, pick up;recoger
dissent, disension;disensión
embarrassing;embarazoso
to complete;cumplir
design;diseño
to lead;liderar
to purport;pretender
to finish off, i.e. kill;rematar
by mistake;por error
joke not broma;chiste
bedroom - not dormitorio;cuarto de dormir
It becomes cold;Se convierte en frío
the pedestrian;el peatón (m)
to look;tener aspecto
the stream;el riachuelo
the windscreen wipers;el limpiaparabrisas
deaf;sordo
tender;tierno
to deliver;repartir
the snowdrop;la campanilla blanca
the compliment;el cumplido
how many;cuántos
half an hour;la media hora
fruit;la fruta
quiet;callado
to turn, fold;doblar
to tie up;amarrar
to assess, value;valorar
the peas;los guisantes
however;sin embargo
the role, roll - not papel;la rol
to influence - not influir;incidir
to suck;chupar
rank, range - noun;rango
ruffian;rufián
to bring close;arrimar
to hook;enganchar
truck, lorry;camión
event, incident, happening;suceso
antipathy, dislike;antipatía
failure;fracasada
plain;llanura
drop;gota
clay;arcilla
daring;atrevido
vile;vil
illustrious;ilustre
to scatter - not dispersar;esparcir
to warn, advise - stem changing;advertir
bandit;bandido
to enjoy - 5 letters;gozar
slope - noun - begins with c;cuesta
garment - not vestido;prenda
sagacious;sagaz
also not;tampoco
to destroy, tear apart;destrozar
to salt;salar
corn, maize - not maiz;choclo
the skin, complexion - not piel;el tez
the starter;el entrante
short;bajo
wireless;inalámbrico
to break;quebrar
middle class;clase media
comedian;comediante
to split up, depart, divide;partir
the space;el espacio
caress - noun;caricia
rolls;rollos
daily, everyday, day-to-day;cotidiano
I'm crazy about something;me chifla algo
casserole, stewpot;cazuela
being that, given that, inasmuch as;puesto que
tired;cansado
pain;el dolor
dark;oscuro
brown;marrón
to count;contar
tea;el té
aggressive;agresivo
the donkey;el burro
the cow;la vaca
the chicken;la gallina
the olive;la aceituna
later;luego
the part of the body;la parte del cuerpo
the beef;la carne de vaca
the back;la espalda
the fever;la fiebre
the knee;la rodilla
the body;el cuerpo
the foot;el pie
good-looking;guapo
the blue whale;la ballena azul
the sight;la vista
the hearing;el oído
the fat;la grasa
to nod;asentir con la cabeza
to negotiate;negociar
the security;la seguridad
the crisis;la crisis
the border;la frontera
the poverty;la pobreza
the doctor;el médico (m)
the infection;la infección
the doubt;la duda
to ignore;ignorar
the behaviour;el comportamiento
to discriminate;discriminar
the violence;la violencia
the topic;el tema
the hunger;el hambre
the discussion;la discusión
dark blue;azul oscuro
orange;naranja
the bankruptcy;la insolvencia
to appeal, draw upon;recurrir
to standardize;estandardizar
to send, not enviar;mandar
to fill in, refill;rellenar
to go in a taxi;carretear
early riser - early bird;madrugador
despite;a pesar de
fresh;fresco
cucumber;el pepino
tomato;el tomate
the raspberry;la frambuesa
nutritious;nutritivo
the farm animal;el animal de la granja
the lettuce;la lechuga
the pepper;el pimiento
the spinach;la espinaca
lemonade;la limonada
juice;el zumo
the fish;el pescado
the pork;la carne de cerdo
to breed;criar
the leg;la pierna
to dress;vestirse
to watch;observar
to follow;respetar
to feel;sentirse
the gender;el sexo
the taboo;el tabú
collect, charge;cobrar
guilty;culpable
to be right;tener razón
the dress;el vestido
to support;apoyar
to interrupt;interrumpir
against;en contra
to irritate;irritar
the watch;el reloj de pulsera
look;el estilo
facial features;los rasgos
skin colour;el color de piel
to win;ganar
the goal;el gol
wrong;falso
the bow;la reverencia
the stare;la mirada fija
to point;señalar
fake;falso
the smile;la sonrisa
the posture;la postura
the liberalism;el liberalismo
the communism;el comunismo
the politics;la política
the picture;la imagen
the homeless person;el sin techo
the barn;el establo
to blame;culpar
to swear;maldecir
to yell;vociferar
the criticism;la crítica
the victory sign;la señal de victoria
the eye contact;el contacto visual
the gesture;el gesto
the slang;el lenguaje coloquial
the etiquette;la etiqueta
the prison;la prisión
the crime;el delito
the unemployment;el desempleo
the antibiotics;los antibióticos
the flu;la gripe
the cough;la tos
to rhyme;rimar
the plug;el tapón
the handkerchief, the tissue;el pañuelo
the earmuffs;las orejeras
dramatic;dramático
valid;válido
the distance;la distancia
to weigh;pesar
the foreign countries;el extranjero
raisin;pasa
to wave;agitar
glass - not cristal;vidrio
It came from nothing;Vino de la nada
various, diverse;diverso
dishevel, rumple;desgreñar
bow, prow;proa
to wear, put on - not llevar;calzar
deer;venado
by means of, through;mediante
there's no hurry;no hay prisa
pearl, bead;perla
fence;seto
bravery, courage, daring;atrevismo
adhesive - noun and adj;adhesivo
rough, harsh;áspero
knoll;loma
glue;cola
to deepen - not profundizar;ahondar
rely on;confiar en
to ruin;arruinar
to break down;averiarse
to accompany;acompañar
to sit - stem changing;sentarse
to shock - not chocar;sobresaltar
to scare;espantar
to shock - not chocar;sobresaltar
to enjoy - 5 letters;gozar
brain drain;fuga de cerebros
press conference;rueda de prensa
contradict - not contradecir;desdecir
jot;jota
munificent;munificente
purpose, intention;propósito
to orate;orar
maid;criada
it get's late;se hace tarde
authentic;auténtico
manufacturing industries;Industrias de manufactura
the semester;el semestre
sparingly;parcamente
harvest - noun;cosecha
lateral, side;lateral
sceptical - and sceptic;escéptico
to allude;aludir
outrage - noun;desafuero
desparate;desesperado
honour noun;honra
to lisp;cecear
lining of clothes;forro
smiling;sonriendo
goldfinch;jilguero
fog, mist - not bruma;niebla
development;desarrollo
warm - not caliente;caluroso
slope - noun - begins with c;cuesta
outrage - noun;desafuero
to unsheathe;desenvainar
flow of water;flujo de agua
beans - not judias;frijoles
then, so;entonces
sweat;sudor
routine procedure;procedimiento de rutina
to roar;rugir
hiker;caminador
bubbles;burbujas
sticking plaster;tirita
embarassing, shameful;vergonzoso
custard;natillas
scales;escamas
stinging, shooting as e.g. in pain;punzante
to fail;fracasar
chained;encadenado
the cloud;la nube
the skirt;la falda
the tabloid;el periódico sensacionalista
free;libre
the flip-flops;las chanclas
the democracy;la democracia
the athletics;el atletismo
the coach;el entrenador (m)
bright;brillante
light blue;azul claro
inaudible;inaudible
the neck;el cuello
the poultry;el ave de corral
yellow;amarillo
lemon;el limón
the sales representative;el representante de ventas (m)
professional judgement;juicio profesional
compatible;compatible
the comment;el comentario
the axis, axle;el eje
the question;la pregunta
boring;aburrido
illegal;ilegal
the peace;la paz
characteristic;la característica
the meat;la carne
to chew;masticar
drink;la bebida
pleasure;el placer
nervous;nervioso
fear;el miedo
large;grande
clock;el reloj
shy;tímido
the pleasure;el placer
the mission;la misión
the tramp;el vagabundo
the trousers;el pantalón
the board;la pizarra
straight;liso
ugly;feo
to tip;dar propina
to enchant, ravish;embelesar
transaction;tramitación
to involve;involucrar
tantrum;rabieta
to submit;someter
ease, confidence;desenvoltura
lining of clothes;forro
outstanding, prominent;destacado
to tow;remolcar
beautiful;hermoso
the toy;el juguete
wrong -adj;equivocado
the view;la vista
tall;alto
to dress, swathe - medical;vendar
garment - not vestido;prenda
chamber, lodging;aposento
shrewd, astute;astuto
to get over;olvidar algo
the wheel;la rueda
blind;ciego
the sound;el sonido
to hear;oír
the senses;los sentidos
to smell;oler
the container;el recipiente
flock, shoal;bandada
insult, to insult;insulto insultar
the chain;la cadena
happy, glad;alegre
ask, require, demand that;exigir que
French;francés
propose , suggest that;proponer que
the blanket;la manta
to offer;ofrecer
to recover;recuperarse
measurement, measure;medida
to baptize, christen;bautizar
the thing that happened;lo sucedido
to jump not saltar;brincar
in front;delante
It makes me mad;Me saca de quicio
to sadden, grieve;entristecer
forgiveness;perdón
to touch;tocar
the wasp;la avispa
the captain;el capitán
the bear;el oso
the coffin;el ataúd
to grab - 4 letters;asir
to triumph, win, conquer;triunfar
impressive;impresionante
currently;actualmente
to bring to fruition;realizar
trajectory;trayectoria
to shine, glow, glitter;resplandecer
spike;espiga
stimulate;estimular
waiter, young man;mozo
to find, not encontrar;hallar
solitary, lonely;solitario
intuitively;intuitivamente
castanet;castañuela
to hinder, obstruct;obstar
shoot, fire weapon - Lat Am;balear
to peek out, poke oout;asomar
given that;dado que
trick;truco
temptation;tentacion
coal, charcoal;carbón
superimposed;superpuesto
here - not acqui;acá
coward and cowardly;cobarde
the bill;el recibo
the monk;el monje
the blending;el ensamblaje
the bread roll;el panecillo
to transfer;trasladar
good luck;buena suerte
the argument;la pelea
to lie;mentir
to be sorry;sentir
the dandelion;el diente de león
the lead article;el editorial
the comic strip;la tira cómica
soldier;soldado
jungle - not jungla;selva
smell - not hedor;tufo
clemency, mercy;clemencia
to fix;fijar
easter;Pascua
presumed, reputed;presunto
slave;esclavo
mess, muddle, imbroglio;lío
sincere;sincero
fanatical;fanático
laid, lying - adj.;tendido
imagine, just look!;fíjate
way, course - tr------;trayecto
completely - with por;por completo
to frown;fruncir el ceño
the cloakroom;el guardarropa
the pigeon;la paloma
to shout;gritar
the mistake;el error
true;verdadero
to be wrong;equivocarse
sign, indication;muestra
to camp;acampar
to write down;apuntar
She was distraught, distressed, upset;Ella estaba angustiada
equipment, apparatus;aparejo
to compare;comparar
gaff;bichero
to lean, tilt;inclinar
to occurr, take place;ocurrir
to touch, play;tocar
meticulous, thorough;meticuloso
the crow;la corneja
the midday;el mediodía
to inspire;inspirar
the obituaries;la esquela
to segment;segmentar
vagrancy;vagabundaje
bait - noun;carnada
jealousy;celosía
humility;humildad
fishing;pesca
to advance;avanzar
the scales;la báscula
the deck;la cubierta
the goose bumps;la piel de gallina
compulsory;obligatorio
the stem;el tallo
the soft drink;el refresco
to manage;arreglarse
delay - noun;retraso
to secure;sujetar
bliss;dicha
excercise an influence;ejercer una influencia
to scratch;rasguñar
dew;rocio
to depopulate;desolar
to unsheathe;desenvainar
stimulate;estimular
rampant;rampante
to go skiing;esquiar
the reception lit. banquet;el banquete
divine;divino
to declare;declarar
to cover;cubrir
rebirth, revival and Renaissance;renacimiento
to facilitate;facilitar
sensuality;sensualidad
impudence;impudencia
jibe, jeer;burla
daring;atrevido
the accessories;los accesorios
to deny, negate;denegar
to govern, rule - stem ch.;regir
politely;cortesmente
to take a risk;arriesgarse
leadership;liderazgo
to damage, harm;dañar
to adjust;ajustar
to provide, to supply;suministrar
the subject;la asignatura
the spotlight;el reflector
reddish;rojizo
to protect;proteger
the rocking chair;la mecedora
fulfillment;cumplimiento
on the one hand;por un lado
pump;bomba
to send;mandar
I waved my hand;Yo agité la mano
to regulate;regular
to negotiate, transact;tramitar
favourite;favorita
freckle;peca
insulting;insultante
manage, handle;manejar
bitter - adj;amargo
to go out;salir
village;aldea
the biology;la biología
to slice;rebanar
Maybe, perhaps;a lo mejor
to hoist, raise;izar
the shore;la costa
the gill;la branquia
the project schedule;el plan de proyecto
the bruise;el moratón
the ski hut;el refugio
the cake;el pastel
to promise;prometer
