to mutilate; mutilar
have you heard of;Has oído de
to contain;contener
steel;acero
file, to file;archivo archivar
the comb;el peine
mysterious;misterioso
the inspector;el controlador (m)
the crocodile;el cocodrilo
scruffy;desaliñado
polite;educado
to age;envejecer
indigenous;indígena
January;enero
the stomach;el estómago
the cold;el resfriado
storm;tormenta
the town;la ciudad
human;humano
weights;pesas
to pour - stem changing;verter
the teenager;la adolescente (f)
I fancy ...;me apetece
the fashion designer;el diseñador de moda (m)
the powder;los polvos
race - noun;carrera
to raise;alzar
empty;vacío
very poor, indigent;indigente
bird not ave;pájaro
letter, handwriting;letra
a float;un flote
respect, regard - noun;respeto
matrimony, marriage;matrimonio
to freeze;helar
marmalade;mermelada
traveller;viajero
series;serie
careful;cuidadoso
the pineapple;la piña
the melon;el melón
the engineer;el ingeniero (m)
to achieve;lograr
except that, save that;salvo que
hamburger;hamburguesa
to establish;establecer
the trolley;el carrito
the pumpkin;la calabaza
the sailor;el marinero (m)
to pray;rezar
the forest;el bosque
diary, daily paper;diario
the suit;el traje
the bandage;la venda
mean;malo
the seahorse;el caballito de mar
reluctance;desgana
army;ejército
to recite;recitar
to stay - not quedar;alojarse
the black hole;el agujero negro
the parsley;el perejil
to celebrate;celebrar
the tournament;el torneo
the stick;el palo
weather vane;velata
She spoke again;Ella volvió a hablar
the mushrooms;los champiñones
to mention;mencionar
to go - formal meaning like to go to an appointment = to attend;acudir
governing body;órgano rector
little voice;vocecilla
trout;trucha
cattle;ganado
cold - as in illness;resfriado
to run aground, strand;encallar
to humiliate;humillar
to stick;apegarse
consumption;consumo
anchorage;fondeadero
to speed;ir a toda velocidad
selfish;egoísta
the relief;el alivio
the junction;el cruce
to approach;acercarse
it's glass;es de cristal
errand, message;recado
mate, partner;compañero
broad beans;habas
pod, sheath;vaina
courage, valour;valor
the visa;el visado
careful;prudente
enthusiastic;entusiasmado
funny;gracioso
the waitress;la camarera (f)
the career;la carrera
iron - metal;hierro
to belong, pertain;pertenecer
throb, pulsate;palpitar
rough, rugged;escabroso
to dare;atreverse
swallow - bird;golondrina
man - not hombre;varón
to deepen;profundizar
aspirin;aspirina
the elephant;el elefante
the scratch;el rasguño
the inch;la pulgada
the baker;la panadera (f)
post;el correo
to get up;levantarse
to throw away;tirar
the pan;la sartén
the surface;la superficie
herd, flock, pack - not rebaño;manada
at least;Por lo menos
stationary position;posición estacionaria
port and starboard - both male;babor y estribor
to asssure;asegurar
to flow - not fluir;manar
surprise attack;ataque sorpresivo
to sharpen;agudizar
bank, shore;orilla
spirited;fogoso
to plough, furrow;surcar
to reap, harvest, sow;segar
leak - noun;fuga
to foment, stir up, promote;fomentar
suburb;suburbio
the corner, nook;el rincón
to advance;avanzar
the salt;la sal
state - adj.;estatal
to wash and iron the clothes;lavar y planchar la ropa
a bicycle;una bici
to pump;bombear
the toothbrush;el cepillo de dientes
to cut;cortarse
ever, some time;alguna vez
the responsibility;la responsabilidad
Wisdom grows with age;La sabiduría aumenta con la edad
the schoolfriend;la amiga de la escuela (f)
my working life;mi vida laboral
the charity;la organización de beneficencia
to correct;corregir
prize, award;premio
appropriate;apropiado
to unfold, unwrap;desenvolver
the avenue;la avenida
fixedness, fixity;fijeza
dark, tanned, dark haired or skinned;moreno
sale;venta
the regime;el régimen
typically;tipicamente
confused - 7 letters;confuso
amusing, droll;divertido
to drag;arrastrar
the gold medal;la medalla de oro
to stroke;acariciar
the labour;las contracciones
lonely;solo
the doll;la muñeca
to heal;curar
devouring;devoradora
bronze;bronce
to check, test;comprobar
sudden -adj one word;súbito
gather, congregate;congregar
to hiss;sisear
nude;desnudo
turkey;pava
terraced houses;hilera de casas
Yes, indeed - yes, why not!!;Sí cómo no
path, track - not sendero;senda
cape - geog. landmark;cabo
technical, technician;técnico
sackcloth, hairshirt;cilicio
to beg;pedir limosna
constantly;constantemente
the rash;el litre
to freeze;congelar
kindness, amiability;amabilidad
to graduate;titularse
to staple;grapar
wound, injury;lastimadura
triumph;triunfo
included;incluso
bottom depth;fondo
to return;regresar
category;categoria
the machine is f-cked;La máquina se jode
to put out, extinguish;apagar
gardener;jardinero
the emergency;la urgencia
the housework;las tareas del hogar
the sink;el fregadero
the port;el puerto
according to;según
an injury, cut;un corte
that's certain;es cierto
area, zone;área
to last;durar
to guarantee;garantir
the tax;el impuesto
the tonne;la tonelada
to reject;rechazar
the behaviour;el comportamiento
the luggage;el equipaje
the tin;la lata
the pregnancy;el embarazo
the basket;la cesta
the scent;el olor
nice;simpático
confident;seguro de sí mismo
stubborn;terco
the chives;el cebollino
inwardly;para sí
to place, to locate;ubicar
piece of advice;consejo
to turn out, to prove;resultar
c-nt;coño
punishment;castigo
the phrase;la frase
bakery, pastry shop;pastelería
floating;flotante
to put;meter
the castle;el castillo
the accident;el accidente
to do the washing up;fregar los platos
to tidy up;arreglar
the postbox;el buzón
to realize;darse cuenta
spelling;ortografia
wallet;cartera
waist;cintura
the stapler;la grapadora
the manners;los modales
to overthrow;derrocar
to shake;sacudir
careless;negligente
impatient;impaciente
underpants;los calzoncillos
the nappy;el pañal
the feeling;el sentimiento
the grandson;el nieto
the family;la familia
the death;la muerte
to hang out;pasarse el tiempo
to break;fracturar
the tie;la corbata
to refuse;negarse
nebulous;nebuloso
universal;universal
I ran into her;Me topé con ella
the tatoo;el tatuaje
element;elemento
suffix;sufijo
disk;disco
to perforate, puncture;perforar
irritating;irritante
site;sitio
line, fishing line - masc;sedal
sailing ship;velero
tremulous;trémulo
to prime, stoke, feed;cebar
paddle;pala
husband;esposo
lamb chop;chuleta de cordero
time, period;época
impermeable;impermeable
useless;inútil
to remove;quitar
the harpoon;el arpón
the carpet;la alfombra
the sponge;la esponja
the business executive;la gerente (f)
to type;teclear
the debit card;la tarjeta de débito
contribute;contribuir
far-away;lejano
fatty as in fatty meat;grasoso
I deserve to be loved;Me merezco ser amado
century;siglo
detainee;detenido
c-nt;coño
to answer;contestar
dirty;sucio
the sense of taste;el gusto
the passenger;el pasajero
to take off;quitarse
to fry;freír
the cup;la taza
the place setting;el cubierto
upset;indignado
to die;morir
healthy;sano
the guide;el guía
the threat;la amenaza
reliable;confiable
fair, blond;rubio
the loom;el telar
fibre;fibra
trigger - noun;gatillo
lap;rodillas
suspect - noun and adj;sospechoso
hot, spicy;picante
stomach;estómago
to be fond of;tener cariño a
resistant, tough;resistente
to safeguard, protect;salvaguardar
to warm;calentar
to shame, embarass;avergonzar
to prey on;rapiñar
trembling, shaky;tembloroso
good-looking;guapo
at random;al azar
official - abdj noun - male;oficial
to conclude;concluir
league, link, rubber band;liga
accent - noun;acento
the flan;el flan
wool;lana
line;línea
to march, to go;marchar
suitable, right;adecuado
dialogue;diálogo
suddenly - not de repente;de pronto
to grasp, narrow, tighten;estrechar
military;militar
suddenly - one word;súbitamente
to get drunk;emborracharse
the building;el edificio
the weed;la mala hierba
the make-up;el maquillaje
the litter;la basura
the genre;el género
the drawing;el dibujo
the corner;la esquina
the journalist;el periodista (m)
the printer;la impresora
the sea turtle;la tortuga marina
the dining room;el comedor
clever;inteligente
the martial art;el deporte de combate
the bowl;la sopera
the member;el miembro
fresh;fresco
the blouse;la blusa
the apology;la disculpa
marvelous;maravilloso
the peach;el melocotón
club - as for battering;porra
rigourous;riguroso
rough canvas;estopa
the cleaner;la encargada de la limpieza (f)
the support;el apoyo
broken;roto
to blow;soplar
shame;verguenza
owner;dueño
to renounce;renunciar
breeze;brisa
to welcome, receive, take in;acoger
swallow, gulp, drop - noun;trago
in charge;encargado
the disaster;el desastre
spring - male;manantial
the detail;el detalle
to relax, rest;descansar
balance;equilibrio
calm - noun;calma
to hurt oneself;lastimarse
fury;furia
to separate;separar
Great!!!;Genial
calf muscle;músculo de la pantorrilla
to suggest;sugerir
to stand out, distinguish oneself;destacar
intended;destinado
the highlight;El aspecto destacado
the stench;el hedor
to dream of;soñar con
Besides;además
to sink;hundir
to select;seleccionar
a long time ago;hace mucho tiempo
to pucker;fruncir
general principle;principio general
to title;titular
moorings to moor;amarras amarrar
to dictate, hand down;dictar
the pus;el pus
rapine;rapiña
ostensible;ostensible
improvement;mejora
the volcano;el volcán
the blush;el colorete
to scrub;fregar
myopic;miope
overweight;tener sobrepeso
the mittens;las manoplas
the teaspoon;la cucharilla
the pram;el cochecito de niños
the community;la comunidad
the inequality;la desigualdad
the platform;el andén
to burn oneself;quemarse
the ant;la hormiga
the ceiling;el techo
steep;empinado
the dishwasher;el lavavajillas
pregnant - begins with p - animals only;preñado
the discomfort;el malestar
darkness;tinieblas
loan;préstamo
to reply;replicar
remedy;el remedio
to sprout, burst forth;brotar
financial;financiero
honest;honesto
Inn;posada
black and white;blanco y negro
effective;eficaz
the kohl;el delineador de ojos
tent;carpa
to cease;cesar
goal, e.g. as in I set myself goals;meta
the grape harvest;la vendimia
to stress - mental;estresar
chill, shiver - noun;escalofrio
the water surface;la superficie del agua
emergence, a coming out, revelation;surgencia
incite, encourage;incitar
height, tallness;altura
to cradle;acunar
killer;el asesino
syllable;sílaba
the permission;el permiso
methodology;metodología
the traffic light;el semáforo
a bad loan;un préstamo dudoso
regret, sorry that;lamentar que
the synagogue;la sinagoga
the list;la lista
to commit;cometer
the floor;el suelo
the balcony;el balcón
the normal thing;lo normal
to motivate;motivar
to deserve;merecerse
to imply;implicar
frustrating;frustrante
bald;calvo
to fall in love;enamorarse
disappointed;decepcionado
the tram stop;la parada de tranvía
sword;espada
obviously;obviamente
allergic;alérgico
sexist;sexista
to chirp;trinar
local court;juzgado vecinal
the wave;la ola
eyelash;pestaña
access;acceso
inconsiderate;desconsiderado
barefooted;descalzo
the passport;el pasaporte
the mosque;la mezquita
interesting;interesante
the preparation;los preparativos
light;claro (m)
the driver;el conductor (m)
the statue;la estatua
to complete;completar
the small talk;la conversación trivial
carefully;con cuidado
the bus stop;la parada de autobuses
the soup kitchen;el comedor de beneficencia
the short story;el relato breve
to trigger;gatillar
the judge m - the judge f;el juez - la jueza
the Madrilenian stew;el cocido madrileño
to furnish;amueblar
to sacrifice;sacrificar
nickname;apodo
route, direction, bearing;rumbo
to scare, frighten - not as in scarecrow;asustar
to disappoint, let down;decepcionar
to sprain;torcerse
to subscribe;suscribirse
to remember;acordarse
bra;el sujetador
the timetable;el horario
to grow e.g. veg;cultivar
alert;alerta alertar
the course;el curso
satiated, sated;harto
to argue;argumentar
middle management;gerencia intermedia
to crush;aplastar
the fabric;la tela
hell;infierno
to wake up;despertarse
included;incluido
Swedish;sueco
the press;la prensa
pregnant;embarazada
annoying;molesto
the perspective;la perspectiva
the current;la corriente
to improve;mejorar
to skim;leer por encima
freshness;frescura
jogging;footing
danish;danés
to apply;aplicar
to shine;lustrar
fiend, devil, demon;demonio
advise that;aconsejar que
there will be;habrá
strawberry - 2 words;fresa frutilla
leather;cuero
to question, to dispute;cuestionar
tar;brea
to fear;temer
on purpose;a propósito
keep oneself fit;mantenerse en forma
to lie, to locate,;radicar
under my supervision;bajo mi supervisión
facade;fachada
to blink wink;parpadear
to encourage, cheer up;animar
corridor;pasillo
flow diagram;diagrama de flujos
the eyeshadow;la sombra de ojos
the eagle;el águila
otherwise, in another way;de otro modo
ball;bola
every day;todo los dias
swindle, scam, fraud;estafa
to get sick, fall ill;enfermarse
surrounded;rodeado
paradise;paraíso
to show oneself to be;mostrarse
to grab, grasp;agarrar
a kid;un chiquillo
ambiguous;ambiguo
fictional;ficcional
the cot;la cuna
the sweets;las chuches
as well as;asi como
tablet;la pastilla
insist on that;insistir en que
incipient, starting - adj;incipiente
to show;mostrar
light;ligero
to tackle, approach;abordar
upset;enojado
to peck;picotear
vest;la camisa interior
to chat up;ligar
the rainbow;el arco iris
to give in;darse por vencido
whose - adj, pron, conj;cuyo
roofing material;techumbre
to snow;nevar
disparity;disparidad
health;salud
fluid - noun, adj;fluido
to experience;experimentar
between themselves;entre sí mismos
insipid;insípido
to consist of;consistir en
I like that one - at a distance;me gusta aquél
mist, fog;bruma
It sounds good to me;Me suena bueno
but, but rather;sino
area;zona
to affirm;afirmar
to solicit, seek, claim;solicitar
date;fecha
whole- e.g. whole milk;entero
the public servant;el funcionario (m)
the destination;el lugar de destino
religious;religioso
to register;registrar
present;presente
to include;incluir
satisfied;satisfecho
pay attention lit. lend attention;prestar atención
recently;hace poco
growth;crecimiento
to insinuate;insinuar
to analyze;analizar
process;proceso
personal;personal
to be converted;convertirse
study - as in the study;estudio
to sound;sonar
conquest conquer;conquista conquistar
drug;droga drogar
rule - noun;regla
to upholster;tapizar
to introduce;introducir
causal;causal
option, recourse;recurso
after, following;tras
absence, fault;falta
Myself;yo mismo
the lift;el ascensor
to push;empujar
ride a horse;montar un caballo
to mark, score;marcar
frequently;con frecuencia
to receive;recibir
to volunteer;trabajar voluntariamente
the idiom;la frase hecha
to upgrade;actualizar
the atheist;el ateo (m)
well-groomed;bien arreglado
the spoon;la cuchara
oval;ovalado
to complain;quejarse
stove;estufa
We fit in the lift;Cabemos en el ascensor
subtitled;subtitulado
to temper;templar
the sausage;la salchicha
to obey;obedecer
the washing;la ropa
the wall;la pared
the widow;la viuda
the stool;el taburete
to tread - including grapes;pisar
ravish, enchant;embelesar
I am used to that.;Me acostumbro a eso
dawn - noun and verb;amanecer
the wood;la madera
ointment;la pomada
counter - male;mostrador
go for a run;salir a correr
whenever;siempre que
to treat;tratar
to comment;comentar
the jail;la cárcel
insistence;insistencia
except that;excepto que
to pick;cosechar
the gate;la puerta
oven;horno
the moustache, whiskers;el bigote
to be numb, benumb;entumecer
the law;la ley
to grow;crecer
the corkscrew;el sacacorchos
to wait;esperar
the widower;el viudo
the rights;los derechos
search, hunt - noun;busqueda
stress - la;estrés
the board;la tabla
the international relations;las relaciones internacionales
hat;sombrero
insistent;insistente
to happen;suceder
it's free;es gratis
the elbow;el codo
the owl;la lechuza
the frog;la rana
tasty;sabroso
lover;amante
to make out, descry;divisar
prayer;oración
prayer;oración
whisper;susurro
eatable;comestible
to press;prensar
the bird of prey;el ave rapaz
the injury;la lesión
heritage, inheriance;herencia
cataract;catarata
bush;arbusto
better said;mejor dicho
the brocolli;el brócoli
bye;chao
to sow;sembrar
european;europeo
wax;cera
majesty;majestad
inexhaustable;inagotable
candle;vela
sprouting - adj;brotante
to steal, rob;robar
the suitcase;la maleta
to pack;hacer la maleta
to charge;cargar
the mouse;el ratón
energetic;enérgico
the pharmacy;la farmacia
the haystack;el montón de heno
to feel seasick;estar mareado
the domestic appliance;el electrodoméstico
the baby bottle;el biberón
substitute;sustituto
to breakfast;desayunar
the pensioner;la jubilada (f)
to get tired;cansarse
scarecrow;espantapájaros
the language;el idioma
spacious;espacioso
cheek;mejilla
size, amplitude;amplitud
above all;sobre todo
the baker;el panadero (m)
the doctor;la médica (f)
to offend;ofender
pink;rosa
the ostrich;el avestruz
the hare;la liebre
the walking stick;el bastón
the literature;la literatura
proud;orgulloso
the adulthood;la edad adulta
the code;el código
throw oneself, dive;lanzarse
line;línea
obtain;obtener
pure;puro
recognise;reconocer
I suppose;Supongo
to have lunch;almorzar
to confess - stem changing;confesar
farm worker;labrador
ambition;ambicion
the only thing;lo único
the devil;el diablo
painter;el pintor
possess;poseer
the rosemary;el romero
the basil;la albahaca
the track;el sendero
the cave;la cueva
the crop;la planta útil
the farmer;el campesino (m)
the workshop;el taller
the bedroom;el dormitorio
the ebook;el libro electrónico
the antique;la antigüedad
the graffiti;el graffiti
I switched on the tele;Puse la tele
the seller;el vendedor (m)
to produce;producir
to dance;bailar
the bathroom;el baño
the story;la historia
the adult;la adulta (f)
independent;independiente
the nursery school;el jardín de infancia
the teenager;el adolescente (m)
the band;el grupo
to discriminate;discriminar
fat;gordo
the bracelet;la pulsera
the parents;los padres
the siblings;los hermanos
the half-brother;el hermanastro
close;unido
the childhood;la infancia
the story;el cuento
to play;jugar
the scar;la cicatriz
the embers;la brasa
to explain;explicar
the standpoint;el punto de vista
to confirm;confirmar
the steak;el bistec
milk;la leche
to drink;beber
one;uno
welcome;bienvenido
okay;en orden
to introduce;presentar
have a good trip;buen viaje
the beak;el pico
the tooth;el diente
the knife;el cuchillo
apple;la manzana
the ritual;el ritual
the country;el país
the toothpaste;la pasta de dientes
ten;diez
good morning;buenos días
to see;ver
to have a shower;ducharse
potato;la patata
the chef;el cocinero (m)
the stepchild;el hijastro
impartial;imparcial
the form;el formulario
the retirement;la jubilación
the home;el hogar
the pair;la pareja
the pond;la laguna
fourteenth century;siglo catorce
dirty;sucio
together;juntos
the pessimist;el pesimista
autonomy;autonomia
the grandmother;la abuela
the fan;el aficionado
to get;conseguir
cauliflower;coliflor
the hill;la colina
the granddaughter;la nieta
to reduce;reducir
the countryside / the field;el campo
rural;rural
the valley;el valle
goodness;bondad
friendly;amable
the lifestyle;el estilo de vida
self-sufficient;autosuficiente
the group;el grupo
the pensioner;el jubilado (m)
to be in the habit of;soler
the social life;la vida social
to adopt;adoptar
to share;compartir
to attribute;atribuir
forward - adv.;adelante
the sneer;la sonrisa sarcástica
aspiration;aspiracion
old;viejo
emperor;emperador
empire;imperio
the first thing;lo primero
the library;la biblioteca
sheet, leaf;hoja
the kite;la cometa
the babysitter;el canguro (m)
the adolescence;la adolescencia
the boy;el niño
the circle of friends;el círculo de amigos
the tree;el árbol
to plan;planear
to retire;jubilarse
the identity;la identidad
the pension;la pensión
the towel;la toalla
century;siglo
evidence;evidencia
based;basado
the season;la estación
affect;afectar
progress;progreso
to happen;suceder
to prepare;preparar
escape;escapar
accept;aceptar
to unite, join;unir
mature;maduro
incubate;incubar
the classic;el clásico
the photography;la fotografía
the gallery;la galería
the buyer;el comprador (m)
sorry;perdón
soon;pronto
to get married;casarse
in love;enamorado
the employee;el empleado (m)
the plan;el plan
the experience;la experiencia
the right;el derecho
denied;denegado
to work;trabajar
the soap;el jabón
united;unido
operate;operar
pause;pausa
presence;presencia
exception;excepcion
to force;forzar
obvious;obvio
copy;copia
descend;descender
direct;directo
double;doble
basic;basico
combine;combinar
to contain;contener
switch off;apagar
to make one fat;engordar
class;clase
the service;el servicio
the air;el aire
beard;barba
the optimist;el optimista
the shampoo;el champú
the author;la autora (f)
It's fun to create new things.;Es divertido crear cosas nuevas.
clean;limpio
the cream;la crema
clean;limpio
the marketing;el marketing
the door;la puerta
the company;la empresa
the photo;la foto
the product;el producto
the travel agency;la agencia de viajes
the duck;el pato
structure;estructura
the living room;el salón
the toilet;el servicio
to live;vivir
at home;en casa
the room;la habitación
the kitchen;la cocina
the stairs;la escalera
crazy;loco
the flat;el piso
the window;la ventana
patient;paciente
the glass;el vaso
the bottle;la botella
open;abierto
insecure;inseguro
the plate;el plato
the fork;el tenedor
prohibited;prohibido
the brother;el hermano
the opinion;la opinión
negative;negativo
the curiosity;la curiosidad
the welfare system;el sistema social
positive;positivo
well;bien
the clothes;la ropa
the conversation;la conversación
the sister;la hermana
the photocopy;la fotocopia
the bus;el autobús
the underground;el metro
the hardware;el hardware
the cable;el cable
the keyboard;el teclado
to let;dejar
can;poder
strict;estricto
to stop;detener
the ban;la prohibición
quantity;la cantidad
the newspaper;el periódico
the pound;la libra
please;por favor
small;pequeño
big;grande
the gram;el gramo
the width;el ancho
the centimetre;el centímetro
the metre;el metro
the triangle;el triángulo
long;largo
the length;la longitud
the circle;el círculo
the rectangle;el rectángulo
wide;ancho
to cry crocodile tears;llorar lágrimas de cocodrilo
the handshake;el apretón de manos
colour;el color
fit;en forma
green;verde
the tradition;la tradición
blue;azul
the weather;el tiempo
the train station;la estación
to disagree;no estar de acuerdo
the goat;la cabra
can;poder
strict;estricto
to let;dejar
the mechanic;la mecánica (f)
the mountain;la montaña
the musical;el musical
the actor;el actor (m)
to read;leer
complicated;complicado
less;menos
long;largo
the author;el autor (m)
the theatre;el teatro
the star;la estrella
the book;el libro
the page;la página
the kilometre;el kilómetro
eight;ocho
the football;el fútbol
the T-shirt;la camiseta
the shoes;los zapatos
the player;el jugador (m)
the player;la jugadora (f)
the social problem;el problema social
beer;la cerveza
to wear;llevar
three;tres
six;seis
seven;siete
the ear;la oreja
the point;el punto
to talk;conversar
to ask;preguntar
to say;decir
to speak;hablar
to prove;probar
to introduce;presentar
the war;la guerra
the arm;el brazo
the mouth;la boca
the hand;la mano
the head;la cabeza
the finger;el dedo
the face;la cara
invisible;invisible
the sensation;la sensación
to eat;comer
the eyes;los ojos
now;ahora
the pig;el cerdo
nine;nueve
time;el tiempo
hour;la hora
second;el segundo
two;dos
four;cuatro
five;cinco
minute;el minuto
sensation;la sensación
hunger;el hambre
thirst;la sed
mineral water;el agua mineral
coffee;el café
wine;el vino
red;rojo
white;blanco
small;pequeño
to see;ver
litre;el litro
the problem;el problema
permit, allow that;permitir que
to have a lot of fun;divertirse mucho
the atmosphere;la atmósfera
to hide;esconder
thick, coarse;grueso
we went there and back;Fuimos alli y de regreso
Tuesday;martes
the spice;la especia
the indoor plant;la planta de interior
the mutual friend;el amigo común
the swan;el cisne
stripe;raya
inwardly - adverb;por dentro
championship;campeonato
to block up, clog;atascar
delayed, retarded;retrasado
estate agent;agente inmobiliaro
to deliver;entregar
benign;benigno
add, aggregate;agregar
wandering, errant;errante
the honey;el miel
to transmit;transmitir
beforehand;de antemano
to rock;mecer
to flee;huir
usually;usualmente
the herbs;las hierbas aromáticas
the mint;la yerbabuena
the nail polish;el esmalte de uñas
the grain;el grano
to stop;detener
the medicine;el medicamento
cosy;acogedor
the rowing boat;el bote de remos
the anchor;el ancla
the tights;las medias
the bank transfer;la transferencia bancaria
crystalline;cristalino
forearm;antebrazo
type;tipo
to opt;optar
to reach;alcanzar
to fish;pescar
to differentiate;diferenciar
to hunt;cazar
outwardly;por fuera
to penetrate;penetrar
to take advantage of;aprovechar
dull, dim;deslucido
stone;piedra
jewel;hoya
pulp;pulpa
territory;territorio
to err, wander;errar
race, breed - noun;raza
navigate;navigar
abundant, replete;abundoso
a report;un informe
distinct;distinto
to flavour;condimentar
the discount;el descuento
the bean;la judía
the bamboo;el bambú
to plant;plantar
the cabin;la cabina
the canoe;la canoa
to flow;fluir
depressed;deprimido
to arrange;colocar
the coin;la moneda
wealthy;rico
the divorce;el divorcio
to shrug one's shoulders;encogerse de hombros
narrow;estrecho
to perch;posarse
panties;las bragas
the cooker;la cocina
bite - insect;picadura
If I were you;yo que tu
to tire;cansar
clarity;claridad
existence;existencia
essence;esencia
originate, give rise to;originar
attract;atraer
stubborn, obstinate;obstinado
vigorous;vigoroso
the cherry tree;el cerezo
jump;salto
to illuminate;iluminar
the rock;la roca
the kitchen cupboard;el armario de cocina
the beanbag;el puf
the bank;el banco
the note;el billete
cash;en efectivo
to keep;guardar
to spend;gastar
the ball;el balón
the guest list;la lista de invitados
the boat;el bote
to row;remar
long-sleeved;de manga larga
the shape;la forma
the hope;la esperanza
the money;el dinero
to swim;nadar
the jellyfish;la medusa
skinny;flaco
the parrot;el loro
the wolf;el lobo
the kangaroo;el canguro
the snake;la serpiente
dangerous;peligroso
to rescue;rescatar
to purée;hacer puré
the wine grower;el vinicultor
soft;suave
the wild animal;el animal salvaje
the flight;el vuelo
to measure;medir
the boots;las botas
the craft;la artesanía
to break up;dejar
to waltz;valsar
the gloves;los guantes
the freezer;el congelador
window box, flower bed;jardinera
the fridge;el frigorífico
size;tamaño
the washing machine;la lavadora
the iron;la plancha
the cosmetics;la cosmética
the toaster;la tostadora
to serve;atender
the caravan;la caravana
the sleeping bag;el saco de dormir
the ring;el anillo
brazier;brasero
Wednesday;miércoles
to lend;prestar
Monday;lunes
Sunday;domingo
the hat;el gorro
to put on;ponerse
the wellingtons;las botas de goma
the jeans;los vaqueros
pyjamas;el pijama
boxer shorts;el bóxer
the winter clothes;la ropa de invierno
the jumper;el jersey
warm;de abrigo
to dress;vestirse
underwear;la ropa interior
socks;los calcetines
the fish;el pez
the dolphin;el delfín
the octopus;el pulpo
the coral;el coral
the sardine;la sardina
to breathe;respirar
the bug;el bicho
the mosquito;el mosquito
the spider;la araña
the butterfly;la mariposa
to itch / to bite;picar
the cross-country skiing;el esquí de fondo
the nest;el nido
the sweets;las golosinas
the goalkeeper;el guardameta
the penalty;el penalti
the player;el jugador
the coach;el entrenador
the proverb;el refrán
the table tennis;el tenis de mesa
the tablecloth;el mantel
the dessert;el postre
the ice cream;el helado
the chocolate;el chocolate
sweet;dulce
the cheese;el queso
the red card;la tarjeta roja
to pitch;montar
to lose interest, desire, appetite;desganarse
lightning;relámpago
to lease;arrendar
before - previous to;previo a
the cream;la nata
the wheat;el trigo
to try on;probarse
the wing;el ala
the egg;el huevo
the canary;el canario
the bird;el ave
to flop;agitarse
the starfish;la estrella de mar
the affair;la aventura
the traffic sign;la señal de tráfico
the plant;la planta
the patio;la veranda
the mirror;el espejo
the decor;la decoración
the tension;la tensión
the enemy;la enemiga (f)
the fight;la pelea
shelter;abrigo
to consider;considerar
to reflect;reflejar
to remain, stay, abide;permanecer
to shiver;tiritar
to cook, stew;cocer
incapable;incapaz
hypothetical;hipotético
to click mouse button;pinchar
brief;breve
to shelter, harbour;abrigar
labyrinth;laberinto
to pave;pavimentar
the sparrow;el gorrión
the hurricane;el huracán
the goal;el gol
to roast;asar
the penguin;el pingüino
to sing;cantar
to fly;volar
to score;conseguir
the gym;el gimnasio
the tennis racquet;la raqueta de tenis
the point;el punto
the team;el equipo
the football;el fútbol
the referee;el árbitro
the wardrobe;el armario
the helmet;el casco
the belt;el cinturón
to train;formar
tendency, trend;tendencia
two methods of evaluation;dos métodos de evaluación
to refer;referirse
suffer;sufrir
nail;clavo
to boil;hervir
focus;foco
excitement;emoción
escapade;escapada
wall;muro
to divorce;divorciarse
pee, piss;pipí
to emphasize, accentuate;acentuar
to get dark;oscurecer
sympathy - not pesarme;simpatía
the golf;el golf
the spectator;la espectadora (f)
the team;el equipo
the enemy;el enemigo (m)
the path;el camino
the ex-husband;el ex marido
the earrings;los pendientes
gold;de oro
the glasses;las gafas
Stir the soup occasionally.;Revolver la sopa de vez en cuando.
air hostess;la azafata
the curtain;la cortina
the clock;el reloj
to hang;colgar
the garden;el jardín
the flower;la flor
the corn;el maíz
the flour;la harina
to blanch;escaldar
eating out;comer fuera
the camping / the campsite;el camping
to betray;engañar
the fin;la aleta
the cereal;el cereal
the pasta;la pasta
to cook;cocinar
the bread;el pan
vegan;vegano
single;soltero
the shower;la ducha
by comparison;por comparacion
improvement;mejora
the chef;la cocinera (f)
the apprentice;el aprendiz (m)
the hairdresser;el peluquero (m)
the plumber;el fontanero (m)
secure;seguro
the mechanic;el mecánico (m)
the outdoor furniture;los muebles de jardín
to grow;cultivar
the spectator;el espectador (m)
the artificial colours;los colorantes
to caramelise;caramelizar
the CEO;el gerente (m)
the gravity;la fuerza de la gravedad
to mix;mezclar
draught beer;cerveza de barril
to code, codify;codificar
to sustain, uphold;sostener
the electrician;la electricista (f)
vegetarian;vegetariano
the colleague;el colega (m)
to feel - not sentir;palpar
myth;mito
to express oneself;expresarse
chest, breast;pecho
colourful;vistoso
the mountain range;la cordillera
to climb;escalar
the table;la mesa
the main course;el plato principal
the dessert;el postre
the waiter;el camarero (m)
married;casado
the wife;la mujer
romantic;romántico
to kiss;besarse
silliness;la tonteria
the bad relationship;la mala relación
the barrique;la barrica
to order;pedir
the couple;la pareja
the boyfriend;el novio
the girlfriend;la novia
the husband;el marido
the fillet;el filete
the camel;el camello
to break in;domar
the campfire;la fogata
the paperback;el libro de bolsillo
the tannin;el tanino
to tighten, press, squeeze;apretar
surprizing;sorprendente
never in my life - not nunca;Jamás en mi vida
spree, revelry;juerga
holding hands;agarrado de la mano
to uproot;desarraigar
the matches;las cerillas
feminine intuition;intuicion femenina
the fruit tree;el árbol frutal
to radiate, irradiate;irradiar
to determine, establish;determinar
feather;pluma
cowboy;vaquero
richness, wealth;riqueza
disobedient;desobediente
